relation,postag1,postag2,entity1,entity2,reverse,prediction
USAGE,NN,NN,statistical parser,written and spoken language,False,RESULT
RESULT,NN,NN,Bikel's parser,accuracy,False,RESULT
USAGE,NNS,NN,extracting subcategorization frames,written texts,False,COMPARE
USAGE,NN,VBG,punctuation,parsing,False,USAGE
PART_WHOLE,NNS,NN,subcategorization cues,spoken language,False,COMPARE
PART_WHOLE,NN,NN,punctuation,spoken corpora,False,USAGE
COMPARE,NN,NN,characters-based Chinese collocation system,word-based system,False,RESULT
PART_WHOLE,NNS,NN,wordbreaks,Chinese text corpora,False,COMPARE
USAGE,NNS,NN,word-based collocational properties,automatic segmentation,True,PART_WHOLE
USAGE,NN,NN,bit-vector-based CKY-style parser,context-free parsing,False,RESULT
MODEL-FEATURE,NN,NNS,parse forest representation,analyses for large treebank grammars,False,COMPARE
USAGE,NN,NNS,parser,bit-vector operations,True,USAGE
USAGE,NN,NNS,language model,answers,False,MODEL-FEATURE
USAGE,NN,NNS,transformation model,answer/question terms,False,COMPARE
PART_WHOLE,NN,NNS,corpus,question/answer pairs,True,PART_WHOLE
USAGE,NNS,NNS,information extraction techniques,supervised training data,True,USAGE
USAGE,NNS,NN,field structured extraction tasks,prior knowledge,True,PART_WHOLE
MODEL-FEATURE,NN,RB,generative model,field structured text,False,COMPARE
RESULT,NNS,NNS,unsupervised methods,accuracies,False,COMPARE
USAGE,NNS,NNS,semi-supervised methods,labeled data,True,PART_WHOLE
USAGE,NN,NNS,semantic role labeling,independent classifiers,True,MODEL-FEATURE
MODEL-FEATURE,NNS,NNS,dependencies,arguments,False,COMPARE
MODEL-FEATURE,VBP,NNS,joint model,argument frames,False,COMPARE
PART_WHOLE,NNS,NNS,features,discriminative log-linear models,False,MODEL-FEATURE
PART_WHOLE,NNS,NNP,gold-standard parse trees,PropBank,False,PART_WHOLE
PART_WHOLE,NN,NN,texts,target corpus,False,PART_WHOLE
USAGE,JJ,JJ,vocabulary,target vocabulary,False,MODEL-FEATURE
USAGE,NNP,NN,English Wikipedia,target corpus,False,COMPARE
USAGE,NN,NNP,syntactic analyzer,Procedural Systemic Grammar,True,TOPIC
USAGE,NN,NNP,semantic analyzer,Conceptual Dependency Theory,True,TOPIC
MODEL-FEATURE,NNS,NNP,French tenses,Discourse Representation Theory,True,TOPIC
MODEL-FEATURE,NN,NNS,meaning,tenses,False,MODEL-FEATURE
MODEL-FEATURE,NN,NN,meaning,text,False,MODEL-FEATURE
PART_WHOLE,NNS,NN,events,sentence,False,MODEL-FEATURE
MODEL-FEATURE,NN,NN,event structure,text,False,PART_WHOLE
PART_WHOLE,NNS,NN,temporal adverbials,sentence,False,PART_WHOLE
MODEL-FEATURE,NN,NNS,meaning,tenses,False,MODEL-FEATURE
COMPARE,NN,NN,resolution component,syntactic analysis,False,RESULT
MODEL-FEATURE,NNS,NNS,languages,grammatical frameworks,False,PART_WHOLE
COMPARE,NNP,NNP,GPSG,LT,False,COMPARE
MODEL-FEATURE,NNP,NN,Tree Adjoining Grammars,extended domain of locality,False,COMPARE
USAGE,NN,VBG,feature structure unification,parsing,False,USAGE
COMPARE,NNP,NNP,LEXSYS,XTAG,False,COMPARE
USAGE,NNS,NNP,grammars,EDOL,True,PART_WHOLE
MODEL-FEATURE,NN,NN,sentence-level and text-level anaphora,dependency-based grammar model,True,TOPIC
MODEL-FEATURE,NN,NN,text-level anaphora,Grosz-Sidner-style focus model,True,TOPIC
USAGE,NNS,NN,heuristic rules,knowledge engineering,True,PART_WHOLE
USAGE,NNS,NNS,decision strategies,speech data,True,PART_WHOLE
USAGE,NN,NNP,sense resolution,WordNet,True,TOPIC
PART_WHOLE,NN,NNS,lexical database,semantic relations,True,TOPIC
PART_WHOLE,NNP,NNS,WordNet,semantically related words,True,TOPIC
PART_WHOLE,NN,NN,sense resolution,text processing,False,RESULT
MODEL-FEATURE,NN,NNS,word,senses,True,MODEL-FEATURE
PART_WHOLE,NN,NNS,textual corpus,derived strings,True,TOPIC
PART_WHOLE,NN,NN,derived string,corpus,False,PART_WHOLE
MODEL-FEATURE,NN,NN,context,polysemous word,False,MODEL-FEATURE
MODEL-FEATURE,NNS,NN,words,context,True,MODEL-FEATURE
USAGE,NNP,NN,WordNet,semantic distance,False,MODEL-FEATURE
MODEL-FEATURE,NNS,NN,words,context,True,MODEL-FEATURE
PART_WHOLE,NN,NNP,morphological component,NLP-system for Dutch,False,USAGE
PART_WHOLE,NNS,NN,language independent modules,LSP-MLP system,False,COMPARE
PART_WHOLE,NNS,NNP,idiosyncrasies,Dutch,False,USAGE
USAGE,JJ,NN,subcategorization dictionary,textual corpora,True,MODEL-FEATURE
MODEL-FEATURE,NN,NNS,relative frequency of occurrence,subcategorization classes,False,COMPARE
MODEL-FEATURE,NNS,NNS,verbs,multiple complementation patterns,True,MODEL-FEATURE
RESULT,JJ,NN,subcategorization dictionary,accuracy,False,RESULT
USAGE,NNS,NNS,dictionary word sense definitions,phrasal patterns,True,PART_WHOLE
PART_WHOLE,NNS,NNP,definitions,Longman Dictionary of Contemporary English,False,PART_WHOLE
USAGE,NN,NNS,restricted vocabulary,word sense definitions,False,COMPARE
MODEL-FEATURE,NNS,NNS,word senses,senses,True,PART_WHOLE
PART_WHOLE,NNS,NN,words,restricted vocabulary,False,MODEL-FEATURE
TOPIC,NNS,NN,definitions,analysis mechanism,True,PART_WHOLE
MODEL-FEATURE,NNS,NNS,robustness problems,natural language processing systems,False,COMPARE
USAGE,NN,NN,evaluation method,latent variable model,True,TOPIC
MODEL-FEATURE,NNS,NN,paraphrases,contexts,True,MODEL-FEATURE
MODEL-FEATURE,NN,NN,context,sentence,False,MODEL-FEATURE
PART_WHOLE,NN,NN,latent variable,model,False,RESULT
MODEL-FEATURE,NN,NN,likelihood,variable,False,RESULT
MODEL-FEATURE,NNS,NN,sentences,context,False,PART_WHOLE
RESULT,NN,NN,accuracy,topic information,True,RESULT
PART_WHOLE,NNS,NNS,non-terminals,category labels,True,PART_WHOLE
USAGE,NN,NNS,grammar,crossed serial dependencies,False,PART_WHOLE
USAGE,NN,NNP,parsing method,GPSG,False,TOPIC
